2025-09-19 08:50:00,468 [ERROR] IB Error reqId=159447, code=504, msg=Not connected
2025-09-19 08:50:00,468 [ERROR] IB Error reqId=159448, code=504, msg=Not connected
2025-09-19 08:50:00,468 [ERROR] IB Error reqId=159448, code=504, msg=Not connected
2025-09-19 08:50:00,468 [ERROR] IB Error reqId=159449, code=504, msg=Not connected
2025-09-19 08:50:00,468 [ERROR] IB Error reqId=159449, code=504, msg=Not connected
2025-09-19 08:50:00,468 [ERROR] IB Error reqId=159450, code=504, msg=Not connected
2025-09-19 08:50:00,468 [ERROR] IB Error reqId=159450, code=504, msg=Not connected
2025-09-19 08:50:00,468 [ERROR] IB Error reqId=159451, code=504, msg=Not connected
2025-09-19 08:50:00,468 [ERROR] IB Error reqId=159451, code=504, msg=Not connected
2025-09-19 08:50:00,468 [ERROR] IB Error reqId=159452, code=504, msg=Not connected
2025-09-19 08:50:00,468 [ERROR] IB Error reqId=159452, code=504, msg=Not connected
2025-09-19 08:50:00,468 [ERROR] IB Error reqId=159453, code=504, msg=Not connected
2025-09-19 08:50:00,468 [ERROR] IB Error reqId=159453, code=504, msg=Not connected
2025-09-19 08:50:00,468 [ERROR] IB Error reqId=159454, code=504, msg=Not connected
2025-09-19 08:50:00,468 [ERROR] IB Error reqId=159454, code=504, msg=Not connected
2025-09-19 08:50:00,468 [ERROR] IB Error reqId=159455, code=504, msg=Not connected
2025-09-19 08:50:00,468 [ERROR] IB Error reqId=159455, code=504, msg=Not connected
2025-09-19 08:50:00,468 [ERROR] IB Error reqId=159456, code=504, msg=Not connected
2025-09-19 08:50:00,468 [ERROR] IB Error reqId=159456, code=504, msg=Not connected
2025-09-19 08:50:00,468 [ERROR] IB Error reqId=159457, code=504, msg=Not connected
2025-09-19 08:50:00,468 [ERROR] IB Error reqId=159457, code=504, msg=Not connected
2025-09-19 08:50:00,468 [ERROR] IB Error reqId=159458, code=504, msg=Not connected
2025-09-19 08:50:00,468 [ERROR] IB Error reqId=159458, code=504, msg=Not connected
2025-09-19 08:50:00,468 [ERROR] IB Error reqId=159459, code=504, msg=Not connected
2025-09-19 08:50:00,468 [ERROR] IB Error reqId=159459, code=504, msg=Not connected
2025-09-19 08:50:00,468 [ERROR] IB Error reqId=159460, code=504, msg=Not connected
2025-09-19 08:50:00,468 [ERROR] IB Error reqId=159460, code=504, msg=Not connected
2025-09-19 08:50:00,468 [ERROR] IB Error reqId=159461, code=504, msg=Not connected
2025-09-19 08:50:00,468 [ERROR] IB Error reqId=159461, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159462, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159462, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159463, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159463, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159464, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159464, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159465, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159465, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159466, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159466, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159467, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159467, code=504, msg=Not connected
